Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
13/10/2022,34,902,920,18,27,0,12105.0
14/10/2022,33,888,910,22,28,0,13015.0
15/10/2022,32,1468,1490,22,46,0,14505.0
16/10/2022,0,0,0,0,0,0,0.0
17/10/2022,34,1323,1340,17,38,0,15845.0
18/10/2022,33,1448,1445,3,44,0,17290.0
19/10/2022,33,1916,1980,64,60,0,19270.0
20/10/2022,0,0,0,0,0,0,0.0
21/10/2022,32,801,800,1,25,0,20070.0
22/20/2022,31,975,990,15,0,0,21060.0
23/10/2022,0,0,0,0,0,0,0.0
24/10/2022,29,849,880,31,29,0,21940.0
25/10/2022,31,755,785,30,24,0,22725.0
26/10/2022,33,900,920,20,27,0,23645.0
27/10/2022,33,1044,1050,6,32,0,24695.0
28/10/2022,33,965,1000,35,29,0,25695.0
29/10/2022,34,879,910,31,26,0,26605.0
30/10/2022,0,0,0,0,0,0,0.0
31/10/2022,31,932,970,38,30,0,27575.0
,808,27923,27575,282,34,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.11.2022,34,725,760,35,21,13,760.0
2.11.2022,36,905,935,30,25,13,1695.0
3.11.2022,36,1155,1150,-5,32,1,2845.0
4.11.2022,34,1066,1100,34,0,0,3945.0
5.11.2022,34,1067,1105,38,31,3,5050.0
6.11.2022,-,-,-,-,-,-,-
7.11.2022,35,1378,1400,22,39,0,6450.0
8.11.2022,35,917,950,33,26,0,7400.0
9.11.2022,36,1127,1150,23,31,0,8550.0
10.11.2022,35,1114,1150,36,32,0,9700.0
11.11.2022,35,1480,1510,30,42,0,11210.0
12.11.2022,34,882,920,38,26,0,12130.0
13.11.2022,-,-,-,-,-,0,-
14.11.2022,34,812,840,28,24,3.4,12970.0
15.11.2022,34,985,1025,40,29,1.3,13995.0
16.11.2022,31,816,845,29,26,10,14840.0
17.11.2022,34,863,890,27,25,0,15730.0
18.11.2022,34,1329,1330,1,39,5.8,17060.0
19.11.2022,32,986,1025,39,31,23,18085.0
20.11.2022,-,-,-,-,-,-,-
21.11.2022,33,1087,1110,23,33,0,19195.0
22.11.2022,36,1562,1600,38,43,1,20795.0
23.11.2022,36,2388,2345,-43,66,4.3,23140.0
24.11.2022,38,3235,3270,35,85,0.5,26410.0
25.11.2022,33,1073,1100,27,33,0,27510.0
26.11.2022,35,1265,1300,35,36,0,28810.0
27.11.2022,-,-,-,-,-,0,-
28.11.2022,36,1585,1610,25,44,4.3,30420.0
29.11.2022,38,2007,2040,33,53,0,32460.0
30.11.2022,37,1827,1850,23,49,83.7,34310.0
TOTAL,905,33636,34310,674,37,51.6,17690
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.12.2022,39,2040,2070,30,52,0,2070.0
2.12.2022,40,2752,2790,38,69,0,4860.0
3.12.2022,39,2007,2030,23,51,1,6890.0
4.12.2022,-,-,-,-,-,8.1,-
5.12.2022,40,2144,2185,41,54,0,9075.0
7.12.2022,40,2394,2430,36,60,0,11505.0
8.12.2022,39,1877,1910,33,48,0.5,13415.0
9.12.2022,39,2820,2840,20,72,0,16255.0
10.12.2022,40,5502,5550,48,138,2.8,21805.0
11.12.2022,40,3063,3135,72,77,0,24940.0
12.12.2022,-,-,-,-,-,0,-
13.12.2022,-,-,-,-,-,5,-
14.12.2022,38,3787,3790,3,100,1,28730.0
15.12.2022,39,4378,4440,62,114,0,33170.0
16.12.2022,44,4865,4920,55,112,0,38090.0
17.12.2022,48,4925,4995,70,104,0,43085.0
18.12.2022,51,4820,4900,80,95,0,47985.0
19.12.2022,52,2161,2210,49,42,0,50195.0
20.12.2022,54,4298,4390,92,80,0,54585.0
21.12.2022,50,4176,4250,74,83,0,58835.0
21.12.2022,50,4349,4410,61,88,0,63245.0
22.12.2022,49,2546,2550,4,52,0,65795.0
23.12.2022,51,3912,3990,78,77,0,69785.0
24.12.2022,49,2209,2255,46,45,0,72040.0
25.12.2022,-,-,-,-,-,0,-
26.12.2022,-,-,-,-,-,5.3,-
27.12.2022,-,-,-,-,-,2,-
28.12.2022,50,3421,3510,89,68,0,75550.0
29.12.2022,54,5626,5680,54,104,0,81230.0
30.12.2022,54,4744,4800,56,88,0,86030.0
31.12.2022,52,2364,2495,131,45,0,88525.0
TOTAL,1141,87180,88525,1345,76,25.7,88525
